keys,en,ja,cn,tw,ptbr,es,kr,de,ru,pl,fr,ro,tr,esla
UI_WIDGET_DESC_4,Starts with 2 additional keys,キー+2でスタート。,开局时获得+2密钥,開局時獲得 +2 密鑰。,Começa com 2 chaves extra,Empieza con 2 llaves,,,Начните игру с 2 дополнительными ключами,,,Începe cu 2 chei suplimentare,2 ek anahtar ile başlar.,Empieza con 2 llaves adicionales
UI_WIDGET_UNLOCK_DESC_4,Consume a total of {x} keys to unlock the Key Widget.,キーを合計{x}本使うと、「キーウィジェット」がアンロックされる。,总计消耗{x}密钥来解锁密钥组件。,累計消耗 {x} 密鑰來解鎖密鑰組件。,Consuma um total de {x} chaves para destravar o Widget da Chave.,Gasta un total de {x} llaves para desbloquear el Widget de Llaves,,,"Используйте {x} ключей, чтобы разблокировать виджет ключей.",,,Folosește un total de {x} chei pentru a debloca Widgetul Cheii.,Anahtar Aracı’nı açmak için toplam {x} anahtar tüket.,Gasta un total de {x} llaves para desbloquear el Widget de llaves.
UI_WIDGET_NAME_5,Shield Widget,シールドウィジェット,盾哥组件,盾哥組件,Widget do Escudo,Widget Escudo,,,Виджет щита,,,Widgetul Scutului,Kalkan Aracı,Widget de escudo
UI_WIDGET_DESC_5,Starts with 2 additional shields.,シールドが2枚追加された状態でスタート。,开局时获得+2护盾。,開局時獲得 +2 護盾。,Começa com 2 escudos a mais.,Empieza con 2 escudos,,,Начните игру с 2 дополнительными щитами,,,Începe cu 2 scuturi suplimentare.,2 ek kalkan ile başlar.,Empieza con 2 escudos adicionales.
UI_WIDGET_UNLOCK_DESC_5,Collect {x} firewalls to unlock the Shield Widget.,ファイアウォールを{x}つ集めると、「シールドウィジェット」がアンロックされる。,收集{x}个防火墙来解锁盾哥组件。,收集 {x} 個防火牆來解鎖盾哥組件。,Colete {x} firewalls para destravar o Widget do Escudo.,Obtén {x} firewalls para desbloquear el Widget Escudo,,,"Соберите {x} брандмауэров, чтобы разблокировать виджет щита.",,,Colectează {x} firewall-uri pentru a debloca Widgetul Scutului.,Kalkan Aracı’nı açmak için {x} güvenlik duvarı topla.,Obtén {x} firewalls para desbloquear el Widget de escudo.
UI_WIDGET_NAME_6,Crit Rate Widget,クリティカル率ウィジェット,暴击组件,暴擊組件,Widget da Taxa de Crit,Widget de Probabilidad Crítico,,,Виджет шанса крита,,,Widgetul Șansei Critice,Kritik Oranı Aracı,Widget de probabilidad de crítico
UI_WIDGET_DESC_6,Start with 10% additional crit chance,クリティカル率+10％でスタート。,开局时获得+10%暴击率,開局時獲得 +10% 暴擊率。,Começa com 10% de chance de crítico extra,Empieza con un 10% más de probabilidad de crítico,,,Начните игру с +10% к шансу критического удара,,,Începe cu 10% șansă critică suplimentară,%10 ek kritik vuruş oranı ile başlar.,Empieza con un 10% más de probabilidad de crítico
UI_WIDGET_UNLOCK_DESC_6,Deal a total of {x} critical hits to unlock the Crit Rate Widget.,クリティカルヒットを合計{x}回与えると、「クリティカル率ウィジェット」がアンロックされる。,总计造成{x}暴击次数来解锁暴击组件。,累計造成 {x} 次暴擊來解鎖暴擊組件。,Cause um total de {x} acertos críticos para destravar este widget.,Realiza un total de {x} golpes críticos para desbloquear el Widget de Probabilidad Crítico,,,"Совершите {x} критических ударов, чтобы разблокировать виджет шанса крита.",,,Efectuează un total de {x} lovituri critice pentru a debloca Widgetul Șansei Critice.,Kritik Oranı Aracı’nı açmak için toplam {x} kritik vuruş yap.,Realiza un total de {x} golpes críticos para desbloquear el Widget de probabilidad de crítico.
UI_WIDGET_NAME_7,Crit Damage Widget,クリティカルダメージウィジェット,暴伤组件,暴傷組件,Widget do Dano Crítico,Widget de Daño Crítico,,,Виджет крит. урона,,,Widgetul Daunelor Critice,Kritik Hasar Aracı,Widget de daño crítico
UI_WIDGET_DESC_7,Start with 100% additional crit damage,クリティカルダメージ+100％でスタート。,开局时获得+50%暴击伤害,開局時獲得 +50% 暴擊傷害。,Começa com 100% a mais de dano crítico,Empieza con un 50% más de daño crítico,,,Начните игру со 100% бонусом к критическому урону,,,Începe cu 100% damage critic suplimentar,%100 ek kritik hasar ile başlar.,Empieza con un 50% más de daño crítico
UI_WIDGET_UNLOCK_DESC_7,Deal a total of {x} critical damage to unlock the Crit Damage Widget.,合計{x}のクリティカルダメージを与えると、「クリティカルダメージウィジェット」がアンロックされる。,总计造成{x}暴击伤害来解锁暴伤组件。,累計造成 {x} 點暴擊傷害來解鎖暴傷組件。,Dê um total de {x} dano crítico para destraver o Widget do Dano Crítico.,Inflinge un total de {x} daño crítico para desbloquear el Widget de DañoCrítico,,,"Нанесите {x} критического урона, чтобы разблокировать виджет крит. урона.",,,Provoacă un total de {x} daune critice pentru a debloca Widgetul Daunelor Critice.,Kritik Hasar Aracı’nı açmak için toplam {x} kritik hasar ver.,Inflige un total de {x} de daño crítico para desbloquear el Widget de daño crítico
UI_WIDGET_NAME_8,Mod Widget,MODウィジェット,百宝箱组件,百寶箱組件,Widget de Mod,Widget de Mod,,,Виджет мода,,,Widgetul Modificărilor,Mod Aracı,Widget de mod
UI_WIDGET_DESC_8,Start with 1 random Mod,ランダムなMODを1つ所有した状態でスタート。,开局时便获得1个随机组件,開局時便可獲得 1 個隨機組件。,Começa com 1 Mod aleatório,Empieza con un Mod aleatorio,,,Начните игру с 1 случайным модификатором,,,Începe cu 1 Mod aleatoriu,1 rastgele Mod ile başlar.,Empieza con un Mod aleatorio
UI_WIDGET_UNLOCK_DESC_8,Collect {x} unique MODs to unlock the Mod Widget.,MODを{x}種類集めると「MODウィジェット」がアンロックされる。,收集{x}个不重复的组件来解锁百宝箱组件。,收集 {x} 個不重複的組件來解鎖百寶箱組件。,Colete {x} MODs únicos para destravar o Widget de Mod.,Obtén {x} MODs diferentes para desbloquear el Widget de Mod,,,"Соберите {x} уникальных модификаторов, чтобы разблокировать виджет модификатора.",,,Colectează {x} Mod-uri unice pentru a debloca Widgetul Modificărilor.,Mod Aracı’nı açmak için {x} benzersiz Mod topla.,Obtén {x} MOD diferentes para desbloquear el Widget de mod
UI_WIDGET_NAME_9,EXE Widget,EXEウィジェット,应用程序组件,應用程式組件,Widget EXE,Widget de EXE,,,Виджет EXE,,,Widgetul EXE,EXE Aracı,Widget de EXE
UI_WIDGET_DESC_9,Start with 1 random EXE,ランダムなEXEを1つ所有した状態でスタート。,开局时获得x1随机应用程序,開局時獲得 x1 隨機應用程式。,Começa com 1 EXE aleatório,Empieza con un exe aleatorio,,,Начните игру с 1 случайным EXE,,,Începe cu 1 EXE aleatoriu,1 rastgele EXE ile başlar.,Empieza con un EXE aleatorio
UI_WIDGET_UNLOCK_DESC_9,Collect {x} unique EXEs to unlock the EXE Widget.,EXEを{x}種類集めると「EXEウィジェット」がアンロックされる。,收集{x}个不重复的应用程序来解锁应用程序组件。,收集 {x} 個不重複的應用程式來解鎖應用程式組件。,Colete {x} EXEs únicos para destravar o Widget EXE.,Obtén {x} EXEs diferentes para desbloquear el Widget de Exe,,,"Соберите {x} уникальных EXE, чтобы разблокировать виджет EXE.",,,Colectează {x} EXE-uri unice pentru a debloca Widgetul EXE.,EXE Aracı’nı açmak için {x} benzersiz EXE topla.,Obtén {x} EXE diferentes para desbloquear el Widget de exe
UI_WIDGET_NAME_10,Combo Widget,コンボウィジェット,连击组件,連擊組件,Widget de Combo,Widget de Combo,,,Виджет комбо,,,Widgetul Combo,Kombo Aracı,Widget de combo
UI_WIDGET_DESC_10,Start with 2 additional combo capacity ,コンボの上限数+2でスタート。 ,开局时获得+2连击上限,開局時獲得 +2 連擊上限。,Começa com 2 de capacidade de combo extra,Empieza con 2 de máximo combo extra,,,Начните игру с +2 к объему комбо,,,Începe cu 2 unități suplimentare de combo,2 ek kombo kapasitesi ile başlar.,Empieza con 2 de máximo combo extra
UI_WIDGET_UNLOCK_DESC_10,Identify {x} enemies at max combo to unlock the Combo Widget.,コンボ中に敵を{x}種類検出すると、「コンボウィジェット」がアンロックされる。,在满连击的情况下识别{x}名敌人来解锁连击组件。,在滿連擊的狀態下識別 {x} 個敵人以解鎖連擊組件。,Identifique {x} inimigos no combo máximo para destravar este widget.,Identifica {x} virus al máximo de combo para desbloquear el Widget de Combo,,,"Идентифицируйте {x} врагов при макс. значении комбо, чтобы разблокировать виджет комбо.",,,Identifică {x} inamici la combo maxim pentru a debloca Widgetul Combo.,Kombo Aracı’nı açmak için maksimum komboda {x} düşman tanımla.,Identifica {x} virus al máximo de combo para desbloquear el Widget de combo
UI_WIDGET_NAME_11,Dodge Widget,回避ウィジェット,闪避组件,閃避組件,Widget da Esquiva,Widget de Esquive,,,Виджет уклонения,,,Widgetul Eschivei,Kaçınma Aracı,Widget de esquiva
UI_WIDGET_DESC_11,Start with 10% additional dodge chance,回避率+10％でスタート。,开局时获得+10%闪避率,開局時獲得 +10% 閃避率。,Começa com 10% a mais de chance de esquiva,Empieza con un 10% más de probabilidad de esquive,,,Начните игру с +10% к шансу уклонения,,,Începe cu 10% șansă de eschivă suplimentară,%10 ek kaçınma oranı ile başlar.,Empieza con un 10% más de probabilidad de esquiva
UI_WIDGET_UNLOCK_DESC_11,Dodge a total of {x} hits to unlock the Dodge Widget.,合計{x}回の攻撃を回避すると、「回避ウィジェット」がアンロックされる。,闪避{x}次攻击来解锁闪避组件。,閃避 {x} 次攻擊以解鎖閃避組件。,Esquive de {x} hits no total para destravar este widget.,Esquiva un total de {x} golpes enemigos para desbloquear el Widget de Esquive,,,"Увернитесь от {x} атак, чтобы разблокировать виджет уклонения.",,,Efectuează un total de {x} eschive pentru a debloca Widgetul Eschivei.,Kaçınma Aracı’nı açmak için toplam {x} saldırıdan kaçın.,Esquiva un total de {x} golpes enemigos para desbloquear el Widget de esquiva
UI_WIDGET_NAME_12,Explorer Widget,エクスプローラーウィジェット,探索者组件,探索者組件,Widget Explorador,Widget de Revelación,,,Виджет исследователя,,,Widgetul Exploratorului,Kâşif Aracı,Widget de exploración
UI_WIDGET_DESC_12,First map is fully revealed,最初に出たフォルダツリーが全て表示される。,开局时揭露全地图,開局時揭露整張地圖。,O primeiro mapa começa revelado,Empieza con el mapa revelado al 100%,,,Первая карта полностью открыта.,,,Prima hartă este complet dezvăluită,İlk haritayı tamamen açığa çıkar.,Empieza con el mapa revelado al 100%
UI_WIDGET_UNLOCK_DESC_12,Fully explore folders up till stage {x} to unlock the Explorer Widget.,ステージ{x}までのフォルダを全て調べると、「エクスプローラーウィジェット」がアンロックされる。,完全探索文件夹至关卡{x}来解锁探索者组件,完全探索資料夾至關卡 {x} 以解鎖探索者組件。,Explore todas as pastas até o estágio {x} para destravar este widget.,Explora completamente las carpetas hasta el disco {x} para desbloquear el Widget de Revelación,,,"Исследуйте все папки до {x}-го уровня, чтобы разблокировать виджет исследователя.",,,Explorează complet folderele până la nivelul {x} pentru a debloca Widgetul Exploratorului.,Kâşif Aracı’nı açmak için {x}. aşamaya kadar klasörleri tamamen keşfet.,Explora completamente las carpetas hasta el disco {x} para desbloquear el Widget de exploración.
UI_WIDGET_NAME_13,Shiny Hunter Widget,色違いハンターウィジェット,闪光猎手组件,閃光獵手組件,Widget do Caça-Brilhantes,Widget de Cazador Shiny,,,Виджет сияющей охоты,,,Widgetul Vânătorului Strălucitor,Parlak Avcı Aracı,Widget de cazador de brillantes
UI_WIDGET_DESC_13,Shiny variants of viruses spawn rate is doubled,色違いウイルスの出現率が2倍になる。,闪光病毒生成几率加倍,閃光病毒出現機率加倍。,Chance de variantes brilhantes de vírus surgirem é dobrada,Variantes shiny de los virus aparecerán con el doble de probabilidades,,,Частота появления редких вирусов удвоена,,,Rata de apariție a variantelor strălucitoare ale virusurilor este dublată,Parlak virüslerin ortaya çıkma oranı ikiye katlanır.,Variantes brillantes de los virus aparecerán con el doble de probabilidades
UI_WIDGET_UNLOCK_DESC_13,Identify {x} shiny virus to unlock the Shiny Hunter Widget,色違いウイルスを合計{x}体特定すると、「色違いハンターウィジェット」がアンロックされる。,识别{x}次闪光病毒来解锁闪光猎手组件,識別 {x} 個閃光病毒以解鎖閃光獵手組件。,Identifique {x} vírus brilhantes para destravar este widget,Identifica {x} virus shiny para desbloquear el Widget de Cazador Shiny,,,"Идентифицируйте {x} сияющих вирусов, чтобы разблокировать виджет сияющей охоты",,,Identifică {x} viruși strălucitori pentru a debloca Widgetul Vânătorului Strălucitor,Parlak Avcı Aracı’nı açmak için {x} parlak virüs tanımla.,Identifica {x} virus brillantes para desbloquear el Widget de cazador de brillantes.
UI_WIDGET_NAME_14,???,？？？,???,???,???,???,???,???,???,???,???,???,???,???
UI_WIDGET_DESC_14,Coming soon in future updates.,今後のアップデートで追加予定。,别急，程序猿在做啦！,別急，工程師在做啦！,"Em breve, em atualizações futuras.",En próximas actualizaciones...,,,Скоро в будущих обновлениях.,,,"În curând, în actualizările viitoare.",Gelecek güncellemelerde geliyor.,En próximas actualizaciones...
UI_WIDGET_UNLOCK_DESC_14,Coming soon in future updates.,今後のアップデートで追加予定。,别急，程序猿在做啦！,別急，工程師在做啦！,"Em breve, em atualizações futuras.",En próximas actualizaciones...,,,Скоро в будущих обновлениях.,,,"În curând, în actualizările viitoare.",Gelecek güncellemelerde geliyor.,En próximas actualizaciones...
UI_WIDGET_NAME_15,???,？？？,???,???,???,???,???,???,???,???,???,???,???,???
UI_WIDGET_DESC_15,Coming soon in future updates.,今後のアップデートで追加予定。,别急，程序猿在做啦！,別急，工程師在做啦！,"Em breve, em atualizações futuras.",En próximas actualizaciones...,,,Скоро в будущих обновлениях.,,,"În curând, în actualizările viitoare.",Gelecek güncellemelerde geliyor.,En próximas actualizaciones...
UI_WIDGET_UNLOCK_DESC_15,Coming soon in future updates.,今後のアップデートで追加予定。,别急，程序猿在做啦！,別急，工程師在做啦！,"Em breve, em atualizações futuras.",En próximas actualizaciones...,,,Скоро в будущих обновлениях.,,,"În curând, în actualizările viitoare.",Gelecek güncellemelerde geliyor.,En próximas actualizaciones...
UI_WIDGET_RANDOM_NAME,Random,ランダム,随机,隨機,Aleatório,Aleatorio,,,Случайный виджет,,,Aleatoriu,Rastgele,Aleatorio
UI_WIDGET_RANDOM_DESC,Starts with a random unlocked widget.,アンロック済みのウィジェットの中から、ランダムに1つ読み込んでスタート。,从已解锁的组件中随机选一个开局,從已解鎖的組件中隨機選一個開局。,Começa com um widget aleatório desbloqueado.,Empieza con un widget aleatorio que ya hayas desbloqueado,,,Начните игру со случайным разблокированным виджетом.,,,Începe cu o deblocare de widget aleatoriu.,Rastgele açılmış bir araçla başlar.,Empieza con un widget aleatorio que ya hayas desbloqueado
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
