keys,en,ja,cn,tw,ptbr,es,kr,de,ru,pl,fr,ro,tr,esla
ACHIEVEMENT_TITLE_6,Decompressed,解凍完了,无视风险继续解压,無視風險繼續解壓,Descomprimido,¡Descomprimido!,,,Разархивирован,,,Decomprimat,Sıkıştırma açıldı.,¡Descomprimido!
ACHIEVEMENT_DESC_6,Identified a Zipbomb,ZIP爆弾を検出する,识别{x}次压缩包炸弹,識別{x}次壓縮包炸彈,Identificou um Zipbomb,Identifica un 'Virus5_BombaZip',,,Идентифицировать Zip-бомбу,,,Ai identificat un Zipbomb,Bir Zipbomb tespit ettin.,Identifica un Virus bombaZip
ACHIEVEMENT_TITLE_7,Moai Moai Kyun!,もあいもあいキュン♡,Moai Moai Kyun!,Moai Moai Kyun!,Moai Moai kun!,¡Moai Moai Kyun!,,,Ми-ми-ми Моаи!,,,Moai Moai Kyun!,Moai Moai Kyun!,¡Moai Moai Kyun!
ACHIEVEMENT_DESC_7,Identified {x} Moai viruses,ウイルス「モアイ」を{x}体検出する,识别{x}次复活岛石像病毒,識別{x}次復活島石像病毒,Identificou {x} vírus Trojan,Identifica {x} 'Virus6_Moai',,,Идентифицировать {x} вирусов Моаи,,,Ai identificat {x} viruși Moai,{x} Moai virüsünü tespit ettin.,Identifica {x} Virus moai
ACHIEVEMENT_TITLE_8,User not found.,ユーザーが見つかりません,此用户不存在,此用戶不存在,Usuário não encontrado.,Usuario no Identficado,,,Пользователь не найден.,,,Utilizator negăsit.,Kullanıcı bulunamadı.,Usuario no encontrado.
ACHIEVEMENT_DESC_8,Identified {x} User viruses,ウイルス「ユーザー」を{x}体検出する,识别{x}次用户病毒,識別{x}次使用者病毒,Identificou {x} vírus Usuário,Identifica {x} 'Virus7_Usuario',,,Идентифицировать {x} вирусов-пользователей,,,Ai identificat {x} viruși User,{x} Kullanıcı virüsünü tespit ettin.,Identifica {x} Virus usuario
ACHIEVEMENT_TITLE_9,"It's a bug, not a feature",仕様じゃない、バグだ,这就是bug，不是特性,這就是bug，不是特性,"Não é bug, é feature","Es un bug, no una característica",,,"Это баг, а не фича",,,"E un bug, nu o funcție","Bu bir özellik değil, hata!","Es un error, no una característica"
ACHIEVEMENT_DESC_9,Identified the FirstBug,「ファーストバグ」を検出する,识别病毒之祖,識別病毒之祖,Identificou o BugPrimordial,Identifica a 'Boss1_ElPrimerBoss',,,Идентифицировать первый баг,,,Ai identificat FirstBug,FirstBug virüsünü tespit ettin.,Identifica al Primer error
ACHIEVEMENT_TITLE_10,Formatted HDD,フォーマット済みHDD,格式化硬盘,格式化硬碟,HD formatado,HDD Formateado,,,Отформатированный жесткий диск,,,Hard disk formatat,Hadi bi format çekelim!,HDD formateado
ACHIEVEMENT_DESC_10,Explored a drive,ドライブを調べ終えた,探索驱动器,探索磁碟機,Explorou um drive,Explora un disco,,,Исследовать диск,,,Ai explorat o partiție,Bir sürücüyü keşfettin.,Explora un disco
ACHIEVEMENT_TITLE_11,Virus Scanner,ウイルススキャナー,360安全卫士,360安全衛士,Scanner de Vírus,Virus Escáner,,,Сканер вирусов,,,Scanner de viruși,Virüs Tarayıcı,Escáner de virus
ACHIEVEMENT_DESC_11,Identified {x} viruses,ウイルスを{x}体検出する,识别{x}次病毒,識別{x}次病毒,Identificou {x} vírus,Identifica {x} virus,,,Идентифицировать {x} вирусов,,,Ai identificat {x} viruși,{x} virüsü tespit ettin.,Identifica {x} virus
ACHIEVEMENT_TITLE_12,This is so healthy!,健康志向,真是健健又康康啊,真是健健又康康啊,Que saudável!,¡Esto es muy sano!,,,Полезно для здоровья!,,,Ce sănătos e!,Ne kadar sağlıklıyız!,¡Esto es muy sano!
ACHIEVEMENT_DESC_12,Consumed {x} health consumables,回復系のアイテムを{x}個使用する,使用{x}次可消耗血包,使用{x}次可消耗血包,Consumiu {x} itens de cura,Consume {x} pociones de vidas,,,Использовать {x} лечебных предметов,,,Ai consumat {x} obiecte de viață,{x} sağlık tüketilebilirini kullandın.,Consume {x} consumibles de vida
ACHIEVEMENT_TITLE_13,.exe,.exe,.exe,.exe,.exe,.exe,,,.exe,,,.exe,.exe,.exe
ACHIEVEMENT_DESC_13,Used an executable file for the first time,EXEファイルを初めて使用する,第一次使用应用程序,第一次使用應用程式,Usou um arquivo executável pela primeira vez,Usa un archivo ejecutable por primera vez,,,Впервые использовать исполняемый файл,,,Ai folosit pentru prima dată un fișier executabil,İlk kez bir çalıştırılabilir dosya kullandın,Usa un archivo ejecutable por primera vez
ACHIEVEMENT_TITLE_14,Hide and Seek,かくれんぼ,捉迷藏,捉迷藏,Esconde-Esconde,Escondite,,,Прятки,,,De-a v-ați ascunselea,Hangi deliğe girdi bu?,Escondite
ACHIEVEMENT_DESC_14,Identified {x} Worm viruses,ウイルス「ワーム」を{x}体検出する,识别{x}次蠕虫病毒,識別{x}次蠕蟲病毒,Identificou {x} vírus Worm,Identifica {x} 'Virus8_Gusano',,,Идентифицировать {x} вирусов-червей,,,Ai identificat {x} viruși Worm,{x} Solucan virüsünü tespit ettin.,Identifica {x} Virus gusano
ACHIEVEMENT_TITLE_15,Spyderman,蜘蛛のスパイだー！,失败的man,失敗的man,Homem-Espiaranha,Spyderman,,,Человек-шпаук,,,Spyderman,Sipiderman,Spyderman
ACHIEVEMENT_DESC_15,Identified {x} Spyder viruses,ウイルス「スパイダー」を{x}体検出する,识别{x}次谍蛛病毒,識別{x}次諜蛛病毒,Identificou {x} vírus Espiaranha,Identifica {x} 'Virus9_Aracnoespía',,,Идентифицировать {x} шпауков,,,Ai identificat {x} viruși Spyder,{x} Spyder virüsünü tespit ettin.,Identifica {x} Virus araña
ACHIEVEMENT_TITLE_16,Eggcellent,エッグい！,魔丸,魔丸,Excelentovo,Inspección de Pascua,,,Вылупительно,,,Ou-minunat!,Gezen Tavuk Yumurtası!,Huevos
ACHIEVEMENT_DESC_16,Identified {x} SpyderEggs viruses,ウイルス「スパイダーエッグ」を{x}体検出する,识别{x}次谍蛛卵,識別{x}次諜蛛卵,Identificou {x} vírus OvoEspiaranha,Identifica {x} 'Virus10_HuevoAracnoespía',,,Идентифицировать {x} шпаучих яиц,,,Ai identificat {x} viruși SpyderEggs,{x} SpyderEggs virüsünü tespit ettin.,Identifica {x} Virus de huevo de araña
ACHIEVEMENT_TITLE_17,Help?,お前を消す方法,那咋了？,那咋了？,Socorro?,¿Ayuda?,,,Нужна помощь?,,,Ajutor?,Yardım Lazım mı?,¿Ayuda?
ACHIEVEMENT_DESC_17,Identified {x} Helper viruses,ウイルス「ヘルパー」を{x}体検出する,识别{x}次管家病毒,識別{x}次管家病毒,Identificou {x} vírus Ajudante,Identifica {x} 'Virus11_Ayudante',,,Идентифицировать {x} вирусов-помощников,,,Ai identificat {x} viruși Helper,{x} Yardımcı virüsünü tespit ettin.,Identifica {x} Virus ayudante
ACHIEVEMENT_TITLE_18,Reboot Failed,再起動失敗,重启失败,重啟失敗,Reinicialização Falhou,Reboot fallado exitosamente,,,Перезагрузка не удалась,,,Reboot eșuat,Yeniden Başlatma Başarısız,Reinicio fallido
ACHIEVEMENT_DESC_18,Identified {x} BootSector viruses,ウイルス「ブートセクタ」を{x}体検出する,识别{x}次引导扇区病毒,識別{x}次開機區段病毒,Identificou {x} vírus BootSector,Identifica {x} 'Virus12_BootSector',,,Идентифицировать {x} БутСекторов,,,Ai identificat {x} viruși BootSector,{x} BootSector virüsünü tespit ettin.,Identifica {x} Virus sector de reinicio
ACHIEVEMENT_TITLE_19,"Mama, may I have cookie?",ママ、クッキーいい？,妈妈我想吃饼干,媽媽我想吃餅乾,Hora de Biscoitar,¡Mamá! ¿Puedo comerme una galleta?,,,"Мам, можно печеньку?",,,"Mama, pot să iau o prăjitură?",Benim de bir püskevitim olsa!,"¿Mamá, puedo comerme una galleta?"
ACHIEVEMENT_DESC_19,Identified {x} C00k13M0nst3r viruses,ウイルス「C00k13モンスター」を{x}体検出する,识别{x}次C00k13怪兽,識別{x}次C00k13怪獸,Identificou {x} vírus C00k13M0nst3r,Identifica {x} 'Virus13_MonstruoGalletas',,,Идентифицировать {x} КукиМ0нстр0в,,,Ai identificat {x} viruși C00k13M0nst3r,{x} C00k13M0nst3r virüsünü tespit ettin.,Identifica {x} Virus monstruo de galletas
ACHIEVEMENT_TITLE_20,Cleared your web cache,キャッシュをクリア,缓存已清空,快取已清空,Limpou seu cache,Limpia tu cache web,,,Веб-кэш был очищен,,,Ți-ai curățat memoria cache,Web Önbelleğini Temizledin,Limpia tu caché web
ACHIEVEMENT_DESC_20,Identified the WebWeaver,ウイルス「ウェブウィーバー」を検出する,识别{x}次织网者,識別{x}次織網者,Identificou a TeceTeias,Identifica 'Boss2_LaTejedoraWeb',,,Идентифицировать ткачиху,,,Ai identificat WebWeaver,WebWeaver'ı tespit ettin.,Identifica a la jefe Tejedora web
ACHIEVEMENT_TITLE_21,Will it hit the corner?,隅っこに当たるかな？,它会碰到角落吗？,它會碰到角落嗎？,Será que encosta bem na quina?,¿Tocará la esquina?,,,Попадет в угол?,,,O să atingă colțul?,Köşeye Vurur mu?,¿Tocará la esquina?
ACHIEVEMENT_DESC_21,Stared at the screen saver for a total of {x} seconds,スクリーンセーバーを{x}秒眺める,一直盯着屏保{x}秒,一直盯著螢幕保護程式{x}秒,Ficou olhando pro protetor de tela por {x} segundos,Mira el salvapantallas por un total de {x} segundos,,,Смотреть на заставку в общей сложности {x} секунд,,,Te-ai uitat la screensaver timp de {x} secunde,Ekran koruyucuya toplam {x} saniye baktın.,Mira el fondo de pantalla durante {x} segundos
ACHIEVEMENT_TITLE_22,So close!,もうちょっとなのに！,天啊，那是接近的！,天啊，那是接近的！,Quase!,¡Se ha quedado cerca!,,,Было близко!,,,Atât de aproape!,Çok Yakındı!,¡Tan cerca!
ACHIEVEMENT_DESC_22,Stared at the screen saver for a total of {x} seconds,スクリーンセーバーを{x}秒眺める,一直盯着屏保{x}秒,一直盯著螢幕保護程式{x}秒,Ficou olhando pro protetor de tela por {x} segundos,Mira el salvapantallas por un total de {x} segundos,,,Смотреть на заставку в общей сложности {x} секунд,,,Te-ai uitat la screensaver timp de {x} secunde,Ekran koruyucuya toplam {x} saniye baktın.,Mira el fondo de pantalla durante {x} segundos
ACHIEVEMENT_TITLE_23,Why am I still watching this logo?,なんでまだ見てるんだろ…,为什么我还在看这个logo,為什麼我還在看這個logo,Por que ainda tou aqui vendo isso?,¿Por qué sigo mirando este logo?,,,Почему я все еще смотрю на этот логотип?,,,De ce mă mai uit la logo-ul ăsta?,Neden hâlâ bu logoyu izliyorum?,¿Por qué sigo mirando este logo?
ACHIEVEMENT_DESC_23,Stared at the screen saver for a total of {x} seconds,スクリーンセーバーを{x}秒眺める,一直盯着屏保{x}秒,一直盯著螢幕保護程式{x}秒,Ficou olhando pro protetor de tela por {x} segundos,Mira el salvapantallas por un total de {x} segundos,,,Смотреть на заставку в общей сложности {x} секунд,,,Te-ai uitat la screensaver timp de {x} secunde,Ekran koruyucuya toplam {x} saniye baktın.,Mira el fondo de pantalla durante {x} segundos
ACHIEVEMENT_TITLE_24,I swear it's getting closer...,いや、段々近づいてるから…,我发誓马上了,我發誓馬上了,Eu juro que tá chegando perto...,Te juro que cada vez está más cerca,,,"Клянусь, он все ближе...",,,Jur că se apropie...,Yemin ederim yaklaşıyor...,Te juro que cada vez está más cerca
ACHIEVEMENT_DESC_24,Stared at the screen saver for a total of {x} seconds,スクリーンセーバーを{x}秒眺める,一直盯着屏保{x}秒,一直盯著螢幕保護程式{x}秒,Ficou olhando pro protetor de tela por {x} segundos,Mira el salvapantallas por un total de {x} segundos,,,Смотреть на заставку в общей сложности {x} секунд,,,Te-ai uitat la screensaver timp de {x} secunde,Ekran koruyucuya toplam {x} saniye baktın.,Mira el fondo de pantalla durante {x} segundos
ACHIEVEMENT_TITLE_25,It's not even about the corner anymore...,もう隅っこ云々の話じゃない…,已入无人之境,已入無人之境,Nem tem mais a ver com encostar na quina...,Ya ni si quiera roza la esquina,,,Теперь дело даже не в угле...,,,Nici măcar nu mai e vorba de colț...,Artık köşeyle de ilgili değil...,Ya no se trata de de la esquina...
ACHIEVEMENT_DESC_25,Stared at the screen saver for a total of {x} seconds,スクリーンセーバーを{x}秒眺める,一直盯着屏保{x}秒,一直盯著螢幕保護程式{x}秒,Ficou olhando pro protetor de tela por {x} segundos,Mira el salvapantallas por un total de {x} segundos,,,Смотреть на заставку в общей сложности {x} секунд,,,Te-ai uitat la screensaver timp de {x} secunde,Ekran koruyucuya toplam {x} saniye baktın.,Mira el fondo de pantalla durante {x} segundos
ACHIEVEMENT_TITLE_26,MOM GET THE CAMERA!!,ママ！カメラ！！,妈，快拍！,媽，快拍！,"MÃE, PEGA A CÂMERA!!",¡MAMÁ! ¡SACA LA CÁMARA!!!,,,"МАМ, НЕСИ КАМЕРУ!!",,,"MAMAAA, ADU CAMERA!!",ANNE KAMERA GETİR!!,"¡¡¡MAMÁ, TRAE LA CÁMARA!!!"
ACHIEVEMENT_DESC_26,It hit the corner. Happy now?,ロゴが隅っこに当たる。（満足した？）,它真——的撞到角上了！现在满意了吧？！,它真——的撞到角上了！現在滿意了吧？！,Bateu no cantinho. Tá satisfeito?,Ha tocado la esquina. ¿Ya eres feliz?,,,Он попал прямо в угол. Теперь счастливы?,,,A atins colțul. Mulțumit acum?,Köşeye çarptı. Şimdi mutlu musun?,Ha tocado la esquina. ¿Ya eres feliz?
ACHIEVEMENT_TITLE_27,It's a bird! It's a plane!,鳥？それとも飛行機？,我管你是人是鸟,我管你是人是鳥,É um pássaro! É um avião!,¡Es un pájaro! ¡Es un avión!,,,Это птица! Это самолет!,,,E o pasăre! E un avion!,Kesin ip var!,¡Es un pájaro! ¡Es un avión!
ACHIEVEMENT_DESC_27,Identified {x} Byrd viruses,ウイルス「バード」を{x}体検出する,识别{x}次鸟东西病毒,識別{x}次鳥東西病毒,Identificou {x} vírus Byrd,Identifica {x} 'Virus14_Pájaro',,,Идентифицировать {x} вирусов-птиц,,,Ai identificat {x} viruși Byrd,{x} Byrd virüsünü tespit ettin.,Identifica {x} Virus pájaro
ACHIEVEMENT_TITLE_28,"Read people, READ!!",いいから読め！,看书啊魂淡！,看書啊魂淡！,"Leiam, gente, LEIAM!!","Leer gente, ¡¡LEER!!",,,"Читайте, люди, ЧИТАЙТЕ!!",,,"Citiți, oameni buni, CITIȚI!!",OKU!!!,"¡¡Lean gente, LEAN!!"
ACHIEVEMENT_DESC_28,Identified {x} Book viruses,ウイルス「ブック」を{x}体検出する,识别{x}次书病毒,識別{x}次書病毒,Identificou {x} vírus Livro,Identifica {x} 'Virus15_Libro',,,Идентифицировать {x} вирусов-книг,,,Ai identificat {x} viruși Book,{x} Kitap virüsünü tespit ettin.,Identifica {x} Virus libro
ACHIEVEMENT_TITLE_29,Sky High Club,たこあげ,天高任你飞,天高任你飛,Clube das Alturas,Club del Cielo Alto,,,Клуб высоких удовольствий,,,Clubul Norilor,Bulutların Üstünde,Club del Cielo alto
ACHIEVEMENT_DESC_29,Identified {x} Conficker viruses,ウイルス「コンフィッカー」を{x}体検出する,识别{x}次风筝蠕虫,識別{x}次風箏蠕蟲,Identificou {x} vírus Conficker,Identifica {x} 'Virus16_Conficker',,,Идентифицировать {x} вирусов Conficker,,,Ai identificat {x} viruși Conficker,{x} Conficker virüsünü tespit ettin.,Identifica {x} Virus conficker
ACHIEVEMENT_TITLE_30,Nuclear Meltdown,炉心融解,核爆来袭,核爆來襲,Colapso Nuclear,Fusión nuclear,,,Ядерный расплав,,,Topire nucleară,Nükleer Erime,Fusión nuclear
ACHIEVEMENT_DESC_30,Identified {x} Stuxnet viruses,ウイルス「スタックスネット」を{x}体検出する,识别{x}次震网病毒,識別{x}次震網病毒,Identificou {x} vírus Stuxnet,Identifica {x} 'Virus17_Stuxnet',,,Идентифицировать {x} вирусов Stuxnet,,,Ai identificat {x} viruși Stuxnet,{x} Stuxnet virüsünü tespit ettin.,Identifica {x} Virus stuxnet
ACHIEVEMENT_TITLE_31,Gotta close em all,閉じて閉じて、また閉じて,关掉，通通关掉,關掉，通通關掉,"Temos que fechar, eu sei",Debo cerrarlos todos,,,Закрой их всех,,,Trebuie să le închid pe toate,KAPAT HEPSİNİ KAPAT!,Debo cerrarlos todos
ACHIEVEMENT_DESC_31,Identified {x} Popper viruses,ウイルス「ポッパー」を{x}体検出する,识别{x}次弹窗病毒,識別{x}次彈窗病毒,Identificou {x} vírus Popper,Identifica {x} 'Virus18_Anuncio',,,Идентифицировать {x} Всплывашек,,,Ai identificat {x} viruși Popper,{x} Popper virüsünü tespit ettin.,Identifica {x} Virus anuncio
ACHIEVEMENT_TITLE_32,DDOSed,DDoS攻撃,DDOSed,DDOSed,Levou um DDOS,DDOSed,,,Вас задудосили,,,DDOS-at,DDOS'landın,Ataque DDOS
ACHIEVEMENT_DESC_32,Identified {x} Smurf viruses,ウイルス「スマーフ」を{x}体検出する,识别{x}次蓝精灵病毒,識別{x}次藍精靈病毒,Identificou {x} vírus Smurf,Identifica {x} 'Virus19_Smurf',,,Идентифицировать {x} вирусов-смурфов,,,Ai identificat {x} viruși Smurf,{x} Cüce virüsünü tespit ettin.,Identifica {x} Virus smurf
ACHIEVEMENT_TITLE_33,Do you even spin bro?,まわってる？,还转不？,還轉不？,"Tu gira mesmo, monstrão?",¿Acaso puedes girar?,,,Do you even spin bro?,,,"Frate, tu măcar te învârți?",Dön Baba Dönelim,¿Acaso puedes girar?
ACHIEVEMENT_DESC_33,Identified {x} Allaple viruses,ウイルス「Allaple」を{x}体検出する,识别{x}次熊猫烧香,識別{x}次熊貓燒香,Identificou {x} vírus Allaple,Identifica {x} 'Virus20_Allaple',,,Идентифицировать {x} вирусов Allaple,,,Ai identificat {x} viruși Allaple,{x} Allaple virüsünü tespit ettin.,Identifica {x} Virus allaple
ACHIEVEMENT_TITLE_34,I see you,監視中,不要视奸我力,不要視姦我力,Tô de olho,Te veo,,,Я тебя вижу,,,Te văd,Seni Görüyorum,Te veo
ACHIEVEMENT_DESC_34,Identified {x} iSpy viruses,ウイルス「iSpy」を{x}体検出する,识别{x}次视奸病毒,識別{x}次視姦病毒,Identificou {x} vírus iSpy,Identifica {x} 'Virus21_iespía',,,Идентифицировать {x} вирусов iSpy,,,Ai identificat {x} viruși iSpy,{x} iSpy virüsünü tespit ettin.,Identifica {x} Virus espía cibernético
ACHIEVEMENT_TITLE_35,Stop horsing around!,トラ“ウマ”もん,飞马警告,飛馬警告,Pode tirar seu cavalinho da chuva!,¡Dejar de cabalgar!,,,Хватит коней гонять!,,,"Încetează cu prostiile, calule!",ATma Ziya!,¡Deja de cabalgar!
ACHIEVEMENT_DESC_35,Identified {x} Pegasus viruses,ウイルス「ペガサス」を{x}体検出する,识别{x}次飞马病毒,識別{x}次飛馬病毒,Identificou {x} vírus Pegasus,Identifica {x} 'Virus22_Pegasus',,,Идентифицировать {x} вирусов Pegasus,,,Ai identificat {x} viruși Pegasus,{x} Pegasus virüsünü tespit ettin.,Identifica {x} Virus pegaso
ACHIEVEMENT_TITLE_36,Locked out,ログインできません,锁死,鎖死,Trancado,Bloqueado,,,Заблокирован,,,Blocat afară,Kilit Dışı,Bloqueado
ACHIEVEMENT_DESC_36,Identified {x} Lockbit viruses,ウイルス「ロックビット」を{x}体検出する,识别{x}次勒索病毒,識別{x}次勒索病毒,Identificou {x} vírus Lockbit,Identifica {x} 'Virus23_Lockbit',,,Идентифицировать {x} вирусов Lockbit,,,Ai identificat {x} viruși Lockbit,{x} Lockbit virüsünü tespit ettin.,Identifica {x} Virus lockbit
ACHIEVEMENT_TITLE_37,The root sandbox,Root権限でサンドボックス,根目录大冒险,根目錄大冒險,O sandbox raíz,La raíz sandbox,,,Корневая песочница,,,Sandbox-ul rădăcină,Trojancık,La raíz del arenero
ACHIEVEMENT_DESC_37,Identified {x} Rootkit viruses,ウイルス「ルートキット」を{x}体検出する,识别{x}次船锚病毒,識別{x}次船錨病毒,Identificou {x} vírus Rootkit,Identifica {x} 'Virus24_Rootkit',,,Идентифицировать {x} вирусов Руткит,,,Ai identificat {x} viruși Rootkit,{x} Rootkit virüsünü tespit ettin.,Identifica {x} Virus rootkit
ACHIEVEMENT_TITLE_38,Coookooooo,かっこうかっこう,布谷布谷,布穀布穀,Cucooooooo!,Cooookooooo,,,Кууу-кууууу,,,Cucuuu!,Coookooooo,Cooookooooo
ACHIEVEMENT_DESC_38,Identified {x} Cukoo viruses,ウイルス「カッコー」を{x}体検出する,识别{x}次布谷鸟病毒,識別{x}次布穀鳥病毒,Identificou {x} vírus Cukoo,Identifica {x} 'Virus25_Cukoo',,,Идентифицировать {x} Ку-ку вирусов,,,Ai identificat {x} viruși Cukoo,{x} Cukoo virüsünü tespit ettin.,Identifica {x} Virus cukoo
ACHIEVEMENT_TITLE_39,Journey to the desk,さるウイルス,桌游记,桌遊記,A viagem até a mesa,Aventura al escritorio,,,Путешествие к центру рабочего стола,,,Călătorie spre birou,Masaya Dönelim,Aventura al escritorio
ACHIEVEMENT_DESC_39,Identified {x} Nimda viruses,ウイルス「Nimda」を{x}体検出する,识别{x}次大圣归来,識別{x}次大聖歸來,Identificou {x} vírus Nimda,Identifica {x} 'Virus26_Nimda',,,Идентифицировать {x} вирусов Nimda,,,Ai identificat {x} viruși Nimda,{x} Nimda virüsünü tespit ettin.,Identifica {x} Virus nimda
ACHIEVEMENT_TITLE_40,Botnetted,ボットネット,被抓住了,被抓住了,Virou bot,Botneteado,,,Ботнетнулся,,,Botnetizat,BOTNETLENDİN,Botneteado
ACHIEVEMENT_DESC_40,Identified {x} Mirai viruses,ウイルス「ミライ」を{x}体検出する,识别{x}次未来病毒,識別{x}次未來病毒,Identificou {x} vírus Mirai,Identifica {x} 'Virus27_Mirai',,,Идентифицировать {x} вирусов Mirai,,,Ai identificat {x} viruși Mirai,{x} Mirai virüsünü tespit ettin.,Identifica {x} Virus mirai
ACHIEVEMENT_TITLE_41,Careful Whisper,サックスの探索っす！,古神低语,古神低語,Sussurro Com Jeitinho,Susurro delicado,,,Неосторожный шепот,,,Șoaptă atentă,Fısır Fısır Fısır,Susurro delicado
ACHIEVEMENT_DESC_41,Identified {x} Sasser viruses,ウイルス「サッサー」を{x}体検出する,识别{x}次震荡波病毒,識別{x}次震盪波病毒,Identificou {x} vírus Sasser,Identifica {x} 'Virus28_Sasser',,,Идентифицировать {x} вирусов Sasser,,,Ai identificat {x} viruși Sasser,{x} Sasser virüsünü tespit ettin.,Identifica {x} Virus sasser
ACHIEVEMENT_TITLE_42,Watch Outlook!,受信箱に気をつけて,注意小心！,注意小心！,Cuidado com o Outlook!,¡Revisa el Correo!,,,Берегись Outlook!,,,Ai grijă la Outlook!,Outlook'a Dikkat!,¡Revisa Outlook!
ACHIEVEMENT_DESC_42,Identified {x} Melissa viruses,ウイルス「メリッサ」を{x}体検出する,识别{x}次梅丽莎病毒,識別{x}次梅麗莎病毒,Identificou {x} vírus Melissa,Identifica {x} 'Virus29_Melissa',,,Идентифицировать {x} вирусов Melissa,,,Ai identificat {x} viruși Melissa,{x} Melissa virüsünü tespit ettin.,Identifica {x} Virus melissa
ACHIEVEMENT_TITLE_43,Hide your crypto wallets!,フィッシングメールにご注意！,快跑！你码要没了！,快跑！你的碼要沒了！,Esconde tuas cripto!,¡Oculta tus billeteras de criptomonedas!,,,Прячь криптокашельки!,,,Ascunde-ți portofelele crypto!,Kripto Cüzdanlarını Sakla!,¡Oculta tus billeteras de criptomonedas!
ACHIEVEMENT_DESC_43,Identified {x} Zetabot viruses,ウイルス「Zbot」を{x}体検出する,识别{x}次宙斯僵尸网络,識別{x}次宙斯殭屍網路,Identificou {x} vírus Zetabot,Identrifica {x} 'Virus30_ZBot',,,Идентифицировать {x} вирусов Zetabot,,,Ai identificat {x} viruși Zetabot,{x} Zetabot virüsünü tespit ettin.,Identrifica {x} Virus zetabot
ACHIEVEMENT_TITLE_44,Quick Scan,クイックスキャン,,,Varredura Rápido,Escaneo Rápido,,,Быстрое сканирование,,,Scanare Rapidă,Hızlı Tarama,Escaneo rápido
ACHIEVEMENT_DESC_44,Checked {x} files for viruses,{x}件のファイルをウイルスチェックする,,,Checou {x} arquivos em busca de vírus,Revisa {x} archivos en busca de virus,,,Проверить на вирусы {x} файлов,,,Ai verificat {x} fișiere pentru viruși,Virüs için {x} dosyayı kontrol ettin.,Revisa {x} archivos en busca de virus
ACHIEVEMENT_TITLE_45,Drive Scan,ドライブスキャン,,,Varredura de Drive,Escaneo del Disco,,,Сканирование диска,,,Scanare de partiție,Sürücü Taraması,Escaneo del disco
